  0   50   50    0 9999 9999 9999    0    0 0
  1   50   21    0 9999 9999 9999   10    3 1
  2   78   41    0 9999 9999 9999   10    3 2
  3   68   74    0 9999 9999 9999   10    1 3
  4   33   75    0 9999 9999 9999   10    2 4
  5   22   42   0 9999 9999 9999   10    4 1
  6   48   16    0 9999 9999 9999   10    1 3
  7   83   38    0 9999 9999 9999   10    2 3
  8   72   77    0 9999 9999 9999   10    2 4
  9   32   79    0 9999 9999 9999   10    1 3
 10  17   42    0 9999 9999 9999   10    1 2
 11   51   16    0 9999 9999 9999   10    2 3
 12   83   40    0 9999 9999 9999   10    3 2
 13   70   79    0 9999 9999 9999   10    1 1
 14   30   78    0 9999 9999 9999   10    2 1
 15   17   39    0 9999 9999 9999   10    3 2
 16   47   11    0 9999 9999 9999   10    1 4
 17   87   35    0 9999 9999 9999   10    3 1
 18   76   80    0 9999 9999 9999   10    2 3
 19   30   84    0 9999 9999 9999   10    1 3
 20   11   42    0 9999 9999 9999   10    4 1
 21   50   11    0 9999 9999 9999   10    2 1
 22   88   37    0 9999 9999 9999   10    3 2
 23   74   82    0 9999 9999 9999   10    2 4
 24   28   83    0 9999 9999 9999   10    1 4
 25   12   39    0 9999 9999 9999   10    1 3
 26   52   11    0 9999 9999 9999   10    3 2
 27   89   40   0 9999 9999 9999   10    1 4
 28   72   83    0 9999 9999 9999   10    2 1
 29   25   81    0 9999 9999 9999   10    1 5
 30   13   36    0 9999 9999 9999   10    2 3
 31    45    6    0 9999 9999 9999   10    4 1
 32   91   31    0 9999 9999 9999   10    3 1
 33   81   83    0 9999 9999 9999   10    2 2
 34   29   89    0 9999 9999 9999   10    5 1
 35   6   42    0 9999 9999 9999   10    1 4
 36   48    6    0 9999 9999 9999   10    3 1
 37   92   34    0 9999 9999 9999   10    2 3
 38   78   85    0 9999 9999 9999   10    1 2
 39   26   88    0 9999 9999 9999   10    2 2
 40   7   39    0 9999 9999 9999   10    4 1
 41   51    6    0 9999 9999 9999   10    1 3
 42   93   37    0 9999 9999 9999   10    2 1
 43   76   87    0 9999 9999 9999   10    4 1
 44   24   86    0 9999 9999 9999   10    3 2
 45    8   36    0 9999 9999 9999   10    1 4
 46   54    6    0 9999 9999 9999   10    2 1
 47   94   40    0 9999 9999 9999   10    2 3
 48   73   88   0 9999 9999 9999   10    4 1
 49   21   84    0 9999 9999 9999   10    3 1
 50   9   33    0 9999 9999 9999   10    1 2
 51   28   29    0 9999 9999 9999   10    1 4
 52   45   20    0 9999 9999 9999   10    2 1
 53   63   23    0 9999 9999 9999   10    2 3
 54   77   36    0 9999 9999 9999   10    1 2
 55   81   54    0 9999 9999 9999   10    1 3
 56   72   71    0 9999 9999 9999   10    4 1
 57   55   81    0 9999 9999 9999   10    2 1
 58   37   78    0 9999 9999 9999   10    3 1
 59   23   65    0 9999 9999 9999   10    4 2
 60   20   46    0 9999 9999 9999   10    1 2
 61   20   35    0 9999 9999 9999   10    3 2
 62   35   20    0 9999 9999 9999   10    3 1
 63   55   17    0 9999 9999 9999   10    2 1
 64   74   27    0 9999 9999 9999   10    1 2
 65   84   45    0 9999 9999 9999   10    2 2
 66   80   66    0 9999 9999 9999   10    1 3
 67   65   80    0 9999 9999 9999   10    2 3
 68   45   84    0 9999 9999 9999   10    3 1
 69   26   74    0 9999 9999 9999   10    1 2
 70   17   55    0 9999 9999 9999   10    2 1
 71   24   25    0 9999 9999 9999   10    2 1
 72   44   14    0 9999 9999 9999   10    1 3
 73   66   17    0 9999 9999 9999   10    4 1
 74   83   33    0 9999 9999 9999   10    3 1
 75   87   55    0 9999 9999 9999   10    1 4
 76   77   76    0 9999 9999 9999   10    2 3
 77   57   86    0 9999 9999 9999   10    1 3
 78   34   83    0 9999 9999 9999   10    2 1
 79   18   67    0 9999 9999 9999   10    1 1
 80   14   45    0 9999 9999 9999   10    3 2
 81   15   32    0 9999 9999 9999   10    4 1
 82   32   15    0 9999 9999 9999   10    3 1
 83   56   11    0 9999 9999 9999   10    2 3
 84   78   22    0 9999 9999 9999   10    1 3
 85   90   44    0 9999 9999 9999   10    2 1
 86   86   68    0 9999 9999 9999   10    3 1
 87   68   86    0 9999 9999 9999   10    2 1
 88   44   89    0 9999 9999 9999   10    1 2
 89   22   78    0 9999 9999 9999   10    1 4
 90   11   56    0 9999 9999 9999   10    4 1
 91   19   21    0 9999 9999 9999   10    1 2
 92   43    8    0 9999 9999 9999   10    2 1
 93   69   12    0 9999 9999 9999   10    1 3
 94   88   30    0 9999 9999 9999   10    4 1
 95   93   56    0 9999 9999 9999   10    1 4
 96   81   80    0 9999 9999 9999   10    1 3
 97   58   92    0 9999 9999 9999   10    2 3
 98   32   89    0 9999 9999 9999   10    1 2
 99   13   70    0 9999 9999 9999   10    1 2
 100    8   45    0 9999 9999 9999   10    1 2
